AADAT
ACAA1
ACAA2
ACADL
ACADM
ACADS
ACADVL
ACAT2
ACO2
ACOT2
ACOT8
ACOX1
ACSL1
ACSL4
ACSL5
ACSM3
ACSS1
ADH1C
ADH7
ADIPOR2
ADSL
ALAD
ALDH1A1
ALDH3A1
ALDH3A2
ALDH9A1
ALDOA
AOC3
APEX1
AQP7
AUH
BCKDHB
BLVRA
BMPR1B
BPHL
CA2
CA4
CA6
CBR1
CBR3
MIX23
CD1D
CD36
CEL
CIDEA
CPOX
CPT1A
CPT2
CRAT
CRYZ
CYP1A1
CYP4A11
CYP4A22
D2HGDH
DECR1
DHCR24
DLD
DLST
ECH1
ECHS1
ECI1
ECI2
EHHADH
ELOVL5
ENO2
ENO3
EPHX1
ERP29
ETFDH
FABP1
FABP2
FASN
FH
FMO1
G0S2
GABARAPL1
GAD2
GAPDHS
GCDH
GLUL
GPD1
GPD2
GRHPR
GSTZ1
H2AZ1
HADH
HADHB
HAO2
HCCS
HIBCH
HMGCL
HMGCS1
HMGCS2
HPGD
HSD17B10
HSD17B11
HSD17B4
HSD17B7
HSDL2
HSP90AA1
HSPH1
IDH1
IDH3B
IDH3G
IDI1
IL4I1
INMT
LDHA
LGALS1
LTC4S
MAOA
MCEE
MDH1
MDH2
ME1
METAP1
MGLL
MIF
MLYCD
NBN
NCAPH2
NSDHL
NTHL1
ODC1
OSTC
PCBD1
PDHA1
PDHB
PPARA
PRDX6
PSME1
PTPRG
PTS
RAP1GDS1
RDH11
RDH16
REEP6
RETSAT
S100A10
SDHA
SDHC
SDHD
SERINC1
KMT5A
SLC22A5
SMS
SUCLA2
SUCLG1
SUCLG2
TDO2
TP53INP2
UBE2L6
UGDH
UROD
UROS
VNN1
XIST
YWHAH
PLA2G4B
PLA2G4E
PLA2G2D
PLA2G2E
PLA2G2C
PLA2G3
PLA2G1B
PLA2G2A
PLA2G4A
PLA2G5
PLA2G2F
PLA2G12A
ACOX3
PLA2G6
PLA2G10
PLA2G12B
JMJD7-PLA2G4B
FADS2
CYP2U1
GGT6
CYP2B6
CYP2C19
CYP2C8
CYP2C9
CYP2C18
CYP2E1
CYP2J2
EPHX2
ALOX12
ALOX5
ALOX12B
ALOX15
ALOX15B
GPX6
GGT1
GGT7
GGT5
HPGDS
GPX1
GPX2
GPX3
GPX4
GPX5
GPX7
LTA4H
CYP4F3
PTGDS
PTGIS
PTGS1
PTGS2
TBXAS1
PTGES2
CYP4F2
AKR1C3
PTGES
ACOT7
ACOT4
HACD2
HADHA
FADS1
HSD17B12
ELOVL2
YOD1
PECR
BAAT
SCD
ACOT1
ELOVL6
ENPP6
LPCAT4
PAFAH1B1
PAFAH1B2
PAFAH1B3
PAFAH2
ENPP2
PLD1
PLD2
LPCAT2
CHPT1
PLA2G7
LPCAT1
AGPS
PLPP1
PLPP2
PLPP3
DGAT2
PNPLA3
AWAT2
PNPLA2
DGAT2L6
DGAT1
PLA2G4C
LPCAT3
PLBD1
PNPLA8
MBOAT2
PLA2R1
PLA2G4D
PLB1
PLA2G4F
PLAAT3
TMEM86B
TAFAZZIN
LCLAT1
ABHD4
PLAAT1
PLAAT4
PLAAT2
PLAAT5
MBOAT1
MBOAT7
ATG7
SAT2
CP
CTH
CYBB
AKR1C1
AKR1C2
DPP4
ACSL3
FDFT1
ACSL6
SLC39A14
SLC7A11
FTH1
FTL
GCH1
NOX1
COQ2
GCLC
GCLM
GSS
SLC40A1
HMGCR
HMOX1
HSPB1
IREB2
MAP1LC3C
SLC11A2
NOX4
PCBP1
PCBP2
CHMP5
PHKG2
POR
STEAP3
CISD1
PRNP
BACH1
SAT1
SLC39A8
SLC1A5
SLC3A2
TF
TFRC
TP53
TXNRD1
VDAC2
VDAC3
CHMP6
NCOA4
SLC38A1
MAP1LC3B
MAP1LC3A
AIFM2
CBS
FTMT
ATG5
PNPLA4
ABHD5
PRKACA
LIPE
PNPLA5
LPIN2
PLIN3
CAV1
MOGAT3
GPAM
FABP3
MOGAT1
LPIN3
LPIN1
PRKACB
FABP7
FABP5
PRKACG
MOGAT2
PLIN1
FABP6
FABP4
PPP1CA
GPAT2
PPP1CC
AGMO
GK2
FABP12
GK
FABP9
PPP1CB
GK3P
MTMR7
GDE1
AGK
PIK3C2A
OSBPL5
AGPAT4
PNPLA6
PI4K2B
INPP4A
PIK3CB
PLEKHA5
MTMR1
SLC44A1
CHAT
CSNK2A2
PIK3C3
SYNJ2
STARD7
CPNE3
DDHD2
MTMR2
ACHE
PGS1
CRLS1
PITPNM2
OSBPL8
PITPNM3
SBF1
CHKB
MTMR3
DDHD1
CPNE6
CSNK2A1
CDS2
BMX
MTMR8
PCYT1B
GDPD3
VAC14
PLA2G15
CDIPT
MTMR9
PLD3
PLEKHA4
PIK3R2
PIK3CG
PLEKHA8
PIP5K1B
PLEKHA1
MTMR4
INPP4B
PTPMT1
PITPNM1
CHKA
FIG4
BCHE
PIKFYVE
PLEKHA3
GNPAT
PIK3R3
RAB14
PIK3CA
OCRL
LPGAT1
GPCPD1
SLC44A2
PNPLA7
INPP5K
TPTE2
PEMT
PIK3C2B
SBF2
CEPT1
ARF3
SLC44A5
SELENOI
GPAT3
PIK3C2G
ETNK1
MTMR6
